title,community,region,house_info,total_price,unit_price,link
"雁塔区 大寨路 宏府麒麟山 精装两居
必看好房",宏府麒麟山,N/A,"高楼层
                                    (共33层)
                                                                  2室2厅 | 70.97平米
                                  | 东 北","66
万","9,300元/平",https://xa.ke.com/ershoufang/101133670365.html
"余家寨4号楼和8双地铁口 爱菊欣园 精装三室 南北通透
必看好房",爱菊欣园,N/A,"高楼层
                                    (共28层)
                                                                  3室1厅 | 115.48平米
                                  | 南 北","139
万","12,037元/平",https://xa.ke.com/ershoufang/101133650942.html
"长乐门地铁口1室1厅 朝南向 采光好
必看好房",金叶长乐居,N/A,"中楼层
                                    (共31层)
                                                                  1室1厅 | 53.09平米
                                  | 南","56
万","10,549元/平",https://xa.ke.com/ershoufang/101133649375.html
"近高新，次新房，适合刚需置业，
必看好房",当代嘉宝公园悦MOMΛ,N/A,"低楼层
                                    (共33层)
                                                                      | 2023年 |
                                3室2厅 | 97.81平米
                                  | 南 北","80
万","8,180元/平",https://xa.ke.com/ershoufang/101133645797.html
"次新小区 楼间距80米南北通透园林社区绿化环境优美
必看好房",熙悦,N/A,"高楼层
                                    (共24层)
                                                                  3室2厅 | 138.84平米
                                  | 南 北","153
万","11,020元/平",https://xa.ke.com/ershoufang/101133645029.html
高新区 丈八北路  捷瑞新时代 一室 诚心出售,捷瑞新时代,N/A,"低楼层
                                    (共26层)
                                                                      | 2012年 |
                                1室1厅 | 53.69平米
                                  | 西","70
万","13,038元/平",https://xa.ke.com/ershoufang/101133702103.html
诚心出售，随时看房，南北通透三室,檀香园,N/A,"高楼层
                                    (共26层)
                                                                      | 2015年 |
                                3室2厅 | 117.4平米
                                  | 南 北","91
万","7,752元/平",https://xa.ke.com/ershoufang/101133692502.html
底跃居住当选，带实用大地下室！品质小区,融创桃源府(一期),N/A,"低楼层
                                    (共8层)
                                                                  4室2厅 | 173.87平米
                                  | 南 北","195
万","11,216元/平",https://xa.ke.com/ershoufang/101133691831.html
满三满二，中间楼层，采光无遮挡，视野良好，看房方便,万科城市之光南区,N/A,"低楼层
                                    (共33层)
                                                                  4室2厅 | 160.27平米
                                  | 南 北","338
万","21,090元/平",https://xa.ke.com/ershoufang/101133686801.html
旭辉·国宸府 3室1厅 南 北,旭辉·国宸府,N/A,"低楼层
                                    (共33层)
                                                                      | 2023年 |
                                3室1厅 | 143.12平米
                                  | 南 北","239
万","16,700元/平",https://xa.ke.com/ershoufang/101133686541.html
灞业东区 人车分流 精装两室 全明户型 中间层 诚心售,灞业大境,N/A,"中楼层
                                    (共33层)
                                                                  2室2厅 | 92.09平米
                                  | 东南","99
万","10,751元/平",https://xa.ke.com/ershoufang/101133685356.html
交通便利，地铁口经典三室。精装交付全新新房,长盛青春汇,N/A,"中楼层
                                    (共26层)
                                                                      | 2023年 |
                                3室2厅 | 119.78平米
                                  | 南 北","130
万","10,854元/平",https://xa.ke.com/ershoufang/101133683888.html
