name,price,year,info,sold_90_days,selling_count,link,scrape_time,page_num,district,district_code
中航华府,15297,N/A,雁塔  阿房路  / 2013-2022年,90天成交38套,169,https://xa.ke.com/xiaoqu/3811063951519/,2026-02-20 13:07:58,1,雁塔,yanta
紫薇西棠北区,15371,N/A,雁塔  阿房路  / 2015-2021年,90天成交8套,78,https://xa.ke.com/xiaoqu/3813444246680034/,2026-02-20 13:07:58,1,雁塔,yanta
紫薇西棠南区,13666,N/A,雁塔  阿房路  / 2023年,90天成交1套,39,https://xa.ke.com/xiaoqu/38000000048009/,2026-02-20 13:07:58,1,雁塔,yanta
铭城国际社区,12798,N/A,雁塔  阿房路  / 2001-2022年,90天成交15套,127,https://xa.ke.com/xiaoqu/3811100580394/,2026-02-20 13:07:58,1,雁塔,yanta
恒大城,13371,N/A,雁塔  阿房路  / 2008-2018年,90天成交35套,237,https://xa.ke.com/xiaoqu/3811056175231/,2026-02-20 13:07:58,1,雁塔,yanta
KingMall未来中心,6591,N/A,雁塔  阿房路  / 2017-2020年,90天成交2套,17,https://xa.ke.com/xiaoqu/3820022620402230/,2026-02-20 13:07:58,1,雁塔,yanta
华洲城领誉,11172,N/A,雁塔  阿房路  / 2012-2022年,90天成交15套,81,https://xa.ke.com/xiaoqu/3820034820507600/,2026-02-20 13:07:58,1,雁塔,yanta
金辉高新云璟,17648,N/A,雁塔  阿房路  / 2018-2022年,90天成交18套,70,https://xa.ke.com/xiaoqu/3820029996053562/,2026-02-20 13:07:58,1,雁塔,yanta
大茂城,暂无数据,N/A,雁塔  阿房路  / 2022年,90天成交0套,9,https://xa.ke.com/xiaoqu/3820046169910388/,2026-02-20 13:07:58,1,雁塔,yanta
绿地鸿海大厦,暂无数据,N/A,雁塔  阿房路  / 2017年,90天成交0套,6,https://xa.ke.com/xiaoqu/3820034629642840/,2026-02-20 13:07:58,1,雁塔,yanta
恒大阳光馨苑,11408,N/A,雁塔  阿房路  / 2012-2016年,90天成交0套,31,https://xa.ke.com/xiaoqu/3820024864282040/,2026-02-20 13:07:58,1,雁塔,yanta
风度天城,11354,N/A,雁塔  阿房路  / 2010-2025年,90天成交7套,48,https://xa.ke.com/xiaoqu/3820023617994194/,2026-02-20 13:07:58,1,雁塔,yanta
金泰怡景花园,11180,N/A,雁塔  阿房路  / 2008-2017年,90天成交4套,54,https://xa.ke.com/xiaoqu/386990508601847/,2026-02-20 13:07:58,1,雁塔,yanta
华洲城天峰,17224,N/A,雁塔  阿房路  / 2015-2018年,90天成交4套,37,https://xa.ke.com/xiaoqu/3811100257142/,2026-02-20 13:07:58,1,雁塔,yanta
天然气小区(丈八北路),8943,N/A,雁塔  阿房路  / 1998-2008年,90天成交0套,7,https://xa.ke.com/xiaoqu/3820031261147583/,2026-02-20 13:07:58,1,雁塔,yanta
宏府麒麟山,11202,N/A,雁塔  阿房路  / 2000-2021年,90天成交24套,157,https://xa.ke.com/xiaoqu/3811100244768/,2026-02-20 13:07:58,1,雁塔,yanta
绿地国际花都南区,13392,N/A,雁塔  阿房路  / 2013-2019年,90天成交7套,65,https://xa.ke.com/xiaoqu/3811099895277/,2026-02-20 13:07:58,1,雁塔,yanta
华洲城熙悦都,14888,N/A,雁塔  阿房路  / 2010-2021年,90天成交7套,178,https://xa.ke.com/xiaoqu/3811100250554/,2026-02-20 13:07:58,1,雁塔,yanta
金辉悦府,14289,N/A,雁塔  阿房路  / 2008-2017年,90天成交11套,86,https://xa.ke.com/xiaoqu/3811099777337/,2026-02-20 13:07:58,1,雁塔,yanta
三五零七社区,8415,N/A,雁塔  阿房路  / 1963-2025年,90天成交3套,32,https://xa.ke.com/xiaoqu/3811055944803/,2026-02-20 13:07:58,1,雁塔,yanta
南飞鸿华洲城云顶,16656,N/A,雁塔  阿房路  / 2016-2021年,90天成交19套,81,https://xa.ke.com/xiaoqu/3820020677977900/,2026-02-20 13:07:58,1,雁塔,yanta
铭城东区,12042,N/A,雁塔  阿房路  / 2010-2016年,90天成交1套,16,https://xa.ke.com/xiaoqu/3820031160478566/,2026-02-20 13:07:58,1,雁塔,yanta
绿地博海大厦,暂无数据,N/A,雁塔  阿房路  / 2016年,90天成交0套,1,https://xa.ke.com/xiaoqu/3820021103733137/,2026-02-20 13:07:58,1,雁塔,yanta
南飞鸿玖玺大观,16620,N/A,雁塔  阿房路  / 2023-2025年,90天成交2套,31,https://xa.ke.com/xiaoqu/38000000011766/,2026-02-20 13:07:58,1,雁塔,yanta
卓越坊,17006,N/A,雁塔  阿房路  / 2010-2024年,90天成交7套,108,https://xa.ke.com/xiaoqu/3820045587806502/,2026-02-20 13:07:58,1,雁塔,yanta
绿地国际花都北区,12707,N/A,雁塔  阿房路  / 2010-2021年,90天成交7套,87,https://xa.ke.com/xiaoqu/3820073632130383/,2026-02-20 13:07:58,1,雁塔,yanta
高芯悦澜,16875,N/A,雁塔  阿房路  / 2024-2025年,90天成交0套,3,https://xa.ke.com/xiaoqu/38000000043507/,2026-02-20 13:07:58,1,雁塔,yanta
千林郡,15284,N/A,雁塔  曲江  / 2010-2022年,90天成交10套,170,https://xa.ke.com/xiaoqu/3811056741921/,2026-02-20 13:07:58,1,雁塔,yanta
金地南湖艺境一期,19614,N/A,雁塔  曲江  / 2010-2021年,90天成交14套,122,https://xa.ke.com/xiaoqu/3814417235052711/,2026-02-20 13:07:59,1,雁塔,yanta
曲江林语,15748,N/A,雁塔  曲江  / 2013-2022年,90天成交13套,75,https://xa.ke.com/xiaoqu/3811100851692/,2026-02-20 13:07:59,1,雁塔,yanta
曲江紫汀苑,37911,N/A,雁塔  曲江  / 2008-2018年,90天成交0套,71,https://xa.ke.com/xiaoqu/387012733955941/,2026-02-20 13:08:33,2,雁塔,yanta
金地湖城大境天锦,37796,N/A,雁塔  曲江  / 2006-2017年,90天成交1套,117,https://xa.ke.com/xiaoqu/3811099776790/,2026-02-20 13:08:33,2,雁塔,yanta
金裕花园,10485,N/A,雁塔  曲江  / 2000-2013年,90天成交0套,23,https://xa.ke.com/xiaoqu/3820024347133311/,2026-02-20 13:08:33,2,雁塔,yanta
金地曲江尚林苑,26904,N/A,雁塔  曲江  / 2006-2014年,90天成交1套,28,https://xa.ke.com/xiaoqu/3820025065702427/,2026-02-20 13:08:33,2,雁塔,yanta
鸿基紫韵,31878,N/A,雁塔  曲江  / 2010-2017年,90天成交5套,75,https://xa.ke.com/xiaoqu/388396623590102/,2026-02-20 13:08:34,2,雁塔,yanta
曲池坊,43021,N/A,雁塔  曲江  / 2008-2015年,90天成交1套,25,https://xa.ke.com/xiaoqu/3820027330585956/,2026-02-20 13:08:34,2,雁塔,yanta
中海城,17886,N/A,雁塔  曲江  / 2011-2021年,90天成交9套,117,https://xa.ke.com/xiaoqu/3811100858966/,2026-02-20 13:08:34,2,雁塔,yanta
中海紫御华府,24352,N/A,雁塔  曲江  / 2013-2016年,90天成交27套,180,https://xa.ke.com/xiaoqu/3811055150619/,2026-02-20 13:08:34,2,雁塔,yanta
宝枫佳苑,10367,N/A,雁塔  曲江  / 2008-2018年,90天成交3套,60,https://xa.ke.com/xiaoqu/3811055843761/,2026-02-20 13:08:34,2,雁塔,yanta
中海御湖,32030,N/A,雁塔  曲江  / 2009-2015年,90天成交4套,126,https://xa.ke.com/xiaoqu/3811057268122/,2026-02-20 13:08:34,2,雁塔,yanta
曲江观邸,20634,N/A,雁塔  曲江  / 2006-2015年,90天成交3套,151,https://xa.ke.com/xiaoqu/3811055217784/,2026-02-20 13:08:34,2,雁塔,yanta
华侨城108坊,45422,N/A,雁塔  曲江  / 2006-2016年,90天成交0套,25,https://xa.ke.com/xiaoqu/387596381319209/,2026-02-20 13:08:34,2,雁塔,yanta
曲江凤凰池,39270,N/A,雁塔  曲江  / 2010-2016年,90天成交1套,12,https://xa.ke.com/xiaoqu/387302058619554/,2026-02-20 13:08:34,2,雁塔,yanta
曲江风景线,20255,N/A,雁塔  曲江  / 2013-2015年,90天成交5套,50,https://xa.ke.com/xiaoqu/3820023620091778/,2026-02-20 13:08:34,2,雁塔,yanta
曲江公馆,34449,N/A,雁塔  曲江  / 2006-2016年,90天成交0套,20,https://xa.ke.com/xiaoqu/3820027699866623/,2026-02-20 13:08:34,2,雁塔,yanta
中国铁建国际城曦园,17499,N/A,雁塔  曲江  / 2012-2017年,90天成交4套,111,https://xa.ke.com/xiaoqu/3811063295848/,2026-02-20 13:08:34,2,雁塔,yanta
曲江公馆和园,43415,N/A,雁塔  曲江  / 2012-2017年,90天成交2套,49,https://xa.ke.com/xiaoqu/3811100188490/,2026-02-20 13:08:34,2,雁塔,yanta
兰清苑,13354,N/A,雁塔  曲江  / 2006-2012年,90天成交0套,10,https://xa.ke.com/xiaoqu/3820029362583247/,2026-02-20 13:08:34,2,雁塔,yanta
拿铁城,9882,N/A,雁塔  曲江  / 2010-2013年,90天成交3套,47,https://xa.ke.com/xiaoqu/3820023594924069/,2026-02-20 13:08:34,2,雁塔,yanta
