小区名称,户型,面积(平米),价格(万),楼层,区域
保利·天汇,3室2厅,143.19,238,低楼层 (共25层),高新软件城
天地源云水天境,3室2厅,139.47,236,中楼层 (共25层),高新软件城
天地源云水天境,3室2厅,142.55,255,低楼层 (共26层),高新软件城
天地源云水天境,3室2厅,143.55,235,低楼层 (共25层),高新软件城
天地源云水天境,3室2厅,143.35,226,低楼层 (共26层),高新软件城
保利·天汇,3室2厅,131.95,280,中楼层 (共26层),高新软件城
保利·天汇,3室2厅,142.2,260,低楼层 (共26层),高新软件城
保利·天汇,3室2厅,141.89,270,高楼层 (共26层),高新软件城
保利·天汇,3室2厅,143,286,中楼层 (共26层),高新软件城
隆基泰和·云玺领峯,3室2厅,137.41,359,低楼层 (共24层),高新软件城
世新家园,3室2厅,148.36,115,中楼层 (共33层),西二环
唐都温泉花园,3室1厅,139.42,105,中楼层 (共12层),西二环
城西人家,3室2厅,138.59,112,低楼层 (共18层),西二环
唐都温泉花园,3室2厅,141.02,95,低楼层 (共12层),西二环
陕安丰登小区,3室2厅,140.18,118,中楼层 (共32层),西二环
大洋时代国际,3室1厅,137.1,115,高楼层 (共30层),西二环
鸣元名居,3室2厅,140.7,115,低楼层 (共22层),西二环
唐都温泉花园,3室2厅,136.55,117,高楼层 (共27层),西二环
陕安丰登小区,3室2厅,132.52,119,中楼层 (共32层),西二环
大兴新悦城,3室2厅,132.62,100,低楼层 (共33层),西二环
天地源云水天境,3室2厅,146.05,285,低楼层 (共26层),高新软件城P2
保利·天汇,3室1厅,141.9,360,高楼层 (共26层),高新软件城P2
天地源云水天境,3室2厅,139.48,240,高楼层 (共25层),高新软件城P2
保利·天汇,3室2厅,142,339,高楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,141.93,279,低楼层 (共26层),高新软件城P2
隆基泰和·云玺领峯,3室2厅,135.56,339,高楼层 (共25层),高新软件城P2
天地源云水天境,3室1厅,143.71,330,中楼层 (共25层),高新软件城P2
保利·天汇,3室2厅,143,345,中楼层 (共26层),高新软件城P2
天地源云水天境,3室1厅,139.47,249,高楼层 (共25层),高新软件城P2
保利·天汇,3室2厅,139.76,298,低楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,143,286,低楼层 (共26层),高新软件城P2
苏宁雲著,3室2厅,130.29,219,高楼层 (共32层),高新软件城P2
保利·天汇,3室2厅,141.4,358,高楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,138.31,295,低楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,141.4,290,中楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,143.72,385,中楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,141.89,243,中楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,142.2,359,高楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,142.18,369,中楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,131.95,315,高楼层 (共26层),高新软件城P2
保利·天汇,3室2厅,141.93,327,低楼层 (共26层),高新软件城P2
隆基泰和·云玺领峯,3室2厅,138.93,280,高楼层 (共24层),高新软件城P3
保利·天汇,3室2厅,143.76,390,低楼层 (共25层),高新软件城P3
保利·天汇,3室2厅,141.9,380,高楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,141.9,325,高楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143.8,289,低楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,142.49,353,中楼层 (共21层),高新软件城P3
保利·天汇,3室2厅,141.89,360,中楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,139.93,368.5,中楼层 (共26层),高新软件城P3
中海·天谷时代,3室2厅,133.7,318,低楼层 (共26层),高新软件城P3
中海·天谷时代,3室2厅,133.7,320,中楼层 (共26层),高新软件城P3
天地源云水天境,3室2厅,143.71,265,低楼层 (共25层),高新软件城P3
保利·天汇,3室2厅,143,350,高楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,142.1,249,低楼层 (共26层),高新软件城P3
中海·天谷时代,3室1厅,133.7,308,低楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143,269,低楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143,360,低楼层 (共26层),高新软件城P3
保利·天汇,3室1厅,143,375.5,低楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,144.68,398,中楼层 (共26层),高新软件城P3
中海·天谷时代,3室2厅,134.95,350,中楼层 (共25层),高新软件城P3
保利·天汇,3室2厅,140,235,高楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143,335,高楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143.19,299.9,高楼层 (共25层),高新软件城P3
保利·天汇,3室2厅,143,390,中楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,140,330,低楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,139.93,390,中楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143,328,低楼层 (共25层),高新软件城P3
保利·天汇,3室2厅,143.8,393,低楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143,370,中楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143,275,低楼层 (共26层),高新软件城P3
保利·天汇,3室2厅,143,420,高楼层 (共26层),高新软件城P3
